UserID,UserName,Age,Gender,Location,LastLogin,PurchaseAmount,PurchaseCategory,ReviewScore,LoginFrequency
1,User_1,62,Female,Location_1,2023-06-10,-1.3641669172479807,Clothing,0.019607500567566948,Monthly
2,User_2,65,Female,Location_2,2023-08-14,-0.15734158644754725,Electronics,0.7198753779806717,Weekly
3,User_3,18,Male,Location_3,2023-02-17,1.2402176328414605,Home & Garden,0.019607500567566948,Weekly
4,User_4,21,Female,Location_4,2023-03-14,-0.08798380881533843,Books,-0.6806603768455378,Weekly
5,User_5,21,Male,Location_5,2023-07-26,0.8379425225746493,Home & Garden,-1.3809282542586425,Monthly
6,User_6,57,Female,Location_6,2023-02-20,0.40792430125495466,Books,-0.6806603768455378,Monthly
7,User_7,27,Female,Location_7,2023-01-27,-1.381506361656033,Home & Garden,-1.3809282542586425,Weekly
8,User_8,37,Female,Location_8,2023-03-11,-1.3953779171824747,Home & Garden,-1.3809282542586425,Daily
9,User_9,39,Female,Location_9,2023-01-06,-0.3029929194751858,Food,-0.6806603768455378,Weekly
10,User_10,68,Female,Location_10,2023-10-04,0.883025078035585,Home & Garden,-0.6806603768455378,Monthly
11,User_11,54,Male,Location_11,2023-03-22,1.510712965607075,Books,0.7198753779806717,Daily
12,User_12,41,Male,Location_12,2023-03-23,0.889960855798806,Food,-0.6806603768455378,Daily
13,User_13,24,Female,Location_13,2023-11-10,-0.375818585989005,Home & Garden,1.4201432553937765,Daily
14,User_14,42,Female,Location_14,2023-03-09,1.3338506326449424,Food,0.019607500567566948,Weekly
15,User_15,42,Male,Location_15,2023-08-16,1.1049699664586534,Home & Garden,0.7198753779806717,Daily
16,User_16,30,Male,Location_16,2023-06-03,-0.7018001408603866,Clothing,-1.3809282542586425,Daily
17,User_17,19,Female,Location_17,2023-04-03,1.2055387440253562,Food,1.4201432553937765,Monthly
18,User_18,56,Female,Location_18,2023-08-26,1.5419239655415689,Books,-0.6806603768455378,Weekly
19,User_19,57,Female,Location_19,2023-07-18,-0.35154336381773194,Clothing,-0.6806603768455378,Daily
20,User_20,41,Female,Location_20,2023-11-24,-1.51675402803884,Home & Garden,1.4201432553937765,Daily
21,User_21,64,Male,Location_21,2023-06-22,1.014804855536782,Home & Garden,0.019607500567566948,Monthly
22,User_22,42,Male,Location_22,2023-11-14,-1.270533917444499,Clothing,1.4201432553937765,Monthly
23,User_23,35,Male,Location_23,2023-06-01,-0.2197635863165352,Electronics,-1.3809282542586425,Daily
24,User_24,55,Male,Location_24,2023-11-17,1.2090066329069666,Clothing,1.4201432553937765,Daily
25,User_25,43,Male,Location_25,2023-09-01,1.5696670765944525,Books,0.7198753779806717,Daily
26,User_26,31,Male,Location_26,2023-07-08,-0.5908276966488524,Home & Garden,1.4201432553937765,Daily
27,User_27,26,Female,Location_27,2023-12-10,-0.6532496965178404,Food,1.4201432553937765,Weekly
28,User_28,27,Female,Location_28,2023-05-15,0.6818875229021795,Electronics,-1.3809282542586425,Daily
29,User_29,38,Male,Location_29,2023-01-18,1.6320890764634404,Food,-1.3809282542586425,Weekly
30,User_30,69,Male,Location_30,2023-02-14,-0.8058368073086998,Clothing,0.019607500567566948,Weekly
31,User_31,34,Male,Location_31,2023-01-25,1.6182175209369987,Home & Garden,-1.3809282542586425,Daily
32,User_32,69,Male,Location_32,2023-02-13,-0.9341486959282861,Books,-1.3809282542586425,Daily
33,User_33,23,Female,Location_33,2023-11-30,0.9870617444838983,Clothing,-1.3809282542586425,Monthly
34,User_34,33,Female,Location_34,2023-02-09,-1.2358550286283945,Clothing,1.4201432553937765,Weekly
35,User_35,65,Male,Location_35,2023-09-21,-1.1491578065881334,Food,1.4201432553937765,Weekly
36,User_36,18,Male,Location_36,2023-08-03,-0.698332251978776,Food,-1.3809282542586425,Daily
37,User_37,36,Female,Location_37,2023-09-01,-0.9549560292179488,Home & Garden,-0.6806603768455378,Daily
38,User_38,53,Male,Location_38,2023-10-11,0.740841633889557,Food,-1.3809282542586425,Daily
39,User_39,42,Female,Location_39,2023-09-21,1.2263460773150188,Electronics,-1.3809282542586425,Daily
40,User_40,67,Female,Location_40,2023-10-04,1.1673919663276413,Home & Garden,0.019607500567566948,Monthly
41,User_41,69,Male,Location_41,2023-05-08,-1.0243138068501576,Books,-1.3809282542586425,Daily
42,User_42,47,Male,Location_42,2023-10-14,0.19638307947671774,Electronics,-1.3809282542586425,Monthly
43,User_43,37,Female,Location_43,2023-09-10,0.22412619052960125,Clothing,0.019607500567566948,Daily
44,User_44,37,Female,Location_44,2023-07-30,0.654144411849296,Food,-1.3809282542586425,Daily
45,User_45,32,Male,Location_45,2023-01-25,-1.5895796945526595,Books,-1.3809282542586425,Weekly
46,User_46,57,Female,Location_46,2023-12-31,0.2622729682273161,Home & Garden,0.7198753779806717,Daily
47,User_47,50,Male,Location_47,2023-04-11,1.6390248542266612,Food,0.019607500567566948,Weekly
48,User_48,19,Male,Location_48,2023-09-08,-0.500662585726981,Electronics,0.019607500567566948,Weekly
49,User_49,27,Female,Location_49,2023-01-29,-0.8301120294799729,Clothing,0.7198753779806717,Daily
50,User_50,50,Female,Location_50,2023-10-29,-1.3190843617870451,Clothing,0.019607500567566948,Monthly
51,User_51,49,Male,Location_51,2023-04-29,-1.1318183621800812,Food,-0.6806603768455378,Weekly
52,User_52,28,Male,Location_52,2023-02-12,-1.1422220288249125,Home & Garden,1.4201432553937765,Daily
53,User_53,70,Female,Location_53,2023-06-26,0.9558507445494043,Home & Garden,1.4201432553937765,Monthly
54,User_54,41,Male,Location_54,2023-11-08,0.047263857567468766,Food,0.019607500567566948,Weekly
55,User_55,53,Male,Location_55,2023-03-15,-0.375818585989005,Food,1.4201432553937765,Weekly
56,User_56,29,Male,Location_56,2023-08-28,-1.312148584023824,Food,-1.3809282542586425,Weekly
57,User_57,68,Female,Location_57,2023-12-13,0.883025078035585,Books,-1.3809282542586425,Weekly
58,User_58,46,Female,Location_58,2023-06-18,0.01952074651458524,Food,-0.6806603768455378,Monthly
59,User_59,52,Female,Location_59,2023-06-03,-1.6207906944871535,Books,0.7198753779806717,Monthly
60,User_60,18,Male,Location_60,2023-08-29,-0.08104803105211755,Electronics,1.4201432553937765,Daily
61,User_61,18,Female,Location_61,2023-06-25,0.040328079804247886,Food,-0.6806603768455378,Weekly
62,User_62,54,Female,Location_62,2023-06-19,-0.7191395852684387,Food,1.4201432553937765,Weekly
63,User_63,23,Male,Location_63,2023-07-16,-1.0243138068501576,Home & Garden,-1.3809282542586425,Weekly
64,User_64,56,Male,Location_64,2023-06-07,1.645960631989882,Food,-0.6806603768455378,Weekly
65,User_65,58,Female,Location_65,2023-08-10,1.2506212994862917,Books,-0.6806603768455378,Weekly
66,User_66,70,Female,Location_66,2023-06-30,-0.23363514184297696,Books,0.7198753779806717,Weekly
67,User_67,35,Female,Location_67,2023-08-21,-1.2497265841548362,Food,-1.3809282542586425,Monthly
68,User_68,33,Female,Location_68,2023-09-27,1.2228781884334083,Books,-0.6806603768455378,Weekly
69,User_69,22,Male,Location_69,2023-03-29,-1.5791760279078282,Food,-1.3809282542586425,Monthly
70,User_70,59,Female,Location_70,2023-08-23,1.2263460773150188,Electronics,-1.3809282542586425,Daily
71,User_71,60,Female,Location_71,2023-02-17,1.0529516332344966,Books,0.019607500567566948,Monthly
72,User_72,49,Male,Location_72,2023-01-18,1.2471534106046813,Books,0.019607500567566948,Daily
73,User_73,19,Male,Location_73,2023-07-16,0.858749855864312,Books,0.7198753779806717,Daily
74,User_74,19,Female,Location_74,2023-02-05,0.8483461892194807,Books,-1.3809282542586425,Monthly
75,User_75,57,Female,Location_75,2023-09-21,-0.5388093634246958,Food,0.019607500567566948,Monthly
76,User_76,59,Female,Location_76,2023-10-01,-1.4543320281698522,Food,1.4201432553937765,Weekly
77,User_77,53,Female,Location_77,2023-09-28,1.6667679652795448,Electronics,-1.3809282542586425,Weekly
78,User_78,56,Female,Location_78,2023-09-15,0.05766752421230009,Food,-0.6806603768455378,Daily
79,User_79,29,Male,Location_79,2023-10-02,0.2934839681618101,Books,-1.3809282542586425,Daily
